source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
ml/second,0,AURUM_UNITS,ml/second,44777614,UCUM,1970-01-01,2099-12-31,
litres/sec,0,AURUM_UNITS,litres/sec,0,None,1970-01-01,2099-12-31,
min,0,AURUM_UNITS,min,0,None,1970-01-01,2099-12-31,
/50,0,AURUM_UNITS,/50,0,None,1970-01-01,2099-12-31,
4.5,0,AURUM_UNITS,4.5,0,None,1970-01-01,2099-12-31,
U/mL,0,AURUM_UNITS,U/mL,8763,UCUM,1970-01-01,2099-12-31,
mm Hg,0,AURUM_UNITS,mm Hg,8876,UCUM,1970-01-01,2099-12-31,
l/min,0,AURUM_UNITS,l/min,8698,UCUM,1970-01-01,2099-12-31,
ltrs/pm,0,AURUM_UNITS,ltrs/pm,0,None,1970-01-01,2099-12-31,
lm,0,AURUM_UNITS,lm,0,None,1970-01-01,2099-12-31,
minute,0,AURUM_UNITS,minute,9211,UCUM,1970-01-01,2099-12-31,
/6,0,AURUM_UNITS,/6,0,None,1970-01-01,2099-12-31,
mm(Hg),0,AURUM_UNITS,mm(Hg),8876,UCUM,1970-01-01,2099-12-31,
420,0,AURUM_UNITS,420,0,None,1970-01-01,2099-12-31,
ug/L,0,AURUM_UNITS,ug/L,8748,UCUM,1970-01-01,2099-12-31,
m,0,AURUM_UNITS,m,0,None,1970-01-01,2099-12-31,
l/min (Eu),0,AURUM_UNITS,l/min (Eu),0,None,1970-01-01,2099-12-31,
ml,0,AURUM_UNITS,ml,8587,UCUM,1970-01-01,2099-12-31,
lmin,0,AURUM_UNITS,lmin,0,None,1970-01-01,2099-12-31,
/60,0,AURUM_UNITS,/60,0,None,1970-01-01,2099-12-31,
mm.Hg.,0,AURUM_UNITS,mm.Hg.,0,None,1970-01-01,2099-12-31,
8,0,AURUM_UNITS,8,0,None,1970-01-01,2099-12-31,
umol/d,0,AURUM_UNITS,umol/d,0,None,1970-01-01,2099-12-31,
m/s,0,AURUM_UNITS,m/s,0,None,1970-01-01,2099-12-31,
L/min eu,0,AURUM_UNITS,L/min eu,0,None,1970-01-01,2099-12-31,
lpm,0,AURUM_UNITS,lpm,0,None,1970-01-01,2099-12-31,
ml/min,0,AURUM_UNITS,ml/min,8795,UCUM,1970-01-01,2099-12-31,
umol/L,0,AURUM_UNITS,umol/L,8749,UCUM,1970-01-01,2099-12-31,
/7,0,AURUM_UNITS,/7,0,None,1970-01-01,2099-12-31,
a,0,AURUM_UNITS,a,0,None,1970-01-01,2099-12-31,
mm/h,0,AURUM_UNITS,mm/h,0,None,1970-01-01,2099-12-31,
m2,0,AURUM_UNITS,m2,8617,UCUM,1970-01-01,2099-12-31,
l/min(EN),0,AURUM_UNITS,l/min(EN),0,None,1970-01-01,2099-12-31,
lt,0,AURUM_UNITS,lt,0,None,1970-01-01,2099-12-31,
umol/min,0,AURUM_UNITS,umol/min,44777655,UCUM,1970-01-01,2099-12-31,
