source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
*10^6/cu mm	0	JNJ_UNITS	*10^6/cu mm	8931	UCUM	2023-01-20	2099-12-31	
10*-6.eq	0	JNJ_UNITS	10*-6.eq	9653	UCUM	2023-01-20	2099-12-31	
10*-6.eq/(24.h)	0	JNJ_UNITS	10*-6.eq/(24.h)	8928	UCUM	2023-01-20	2099-12-31	
10*-6.eq/kg	0	JNJ_UNITS	10*-6.eq/kg	8929	UCUM	2023-01-20	2099-12-31	
10*-6.eq/L	0	JNJ_UNITS	10*-6.eq/L	8875	UCUM	2023-01-20	2099-12-31	
10*-6.eq/mL	0	JNJ_UNITS	10*-6.eq/mL	9654	UCUM	2023-01-20	2099-12-31	
10*6.eq/mL	0	JNJ_UNITS	10*6.eq/mL	9440	UCUM	2023-01-20	2099-12-31	
10*6/h	0	JNJ_UNITS	Million Units per Hour	0	None	1970-01-01	2099-12-31	
10*-6.[iU]	0	JNJ_UNITS	10*-6.[iU]	9652	UCUM	2023-01-20	2099-12-31	
10*6.[iU]	0	JNJ_UNITS	10*6.[iU]	9689	UCUM	2023-01-20	2099-12-31	
10*-6.[iU]/L	0	JNJ_UNITS	10*-6.[iU]/L	44777583	UCUM	2023-01-20	2099-12-31	
10*-6.[iU]/mL	0	JNJ_UNITS	10*-6.[iU]/mL	9093	UCUM	2023-01-20	2099-12-31	
10*6/kg	0	JNJ_UNITS	10*6/kg	720842	UCUM	2023-01-20	2099-12-31	
10^6/L	0	JNJ_UNITS	10^6/L	9442	UCUM	2023-01-20	2099-12-31	
10*6/L	0	JNJ_UNITS	Million Units per Liter	0	None	1970-01-01	2023-01-20	D
10*6/L	0	JNJ_UNITS	Million per Liter	9442	UCUM	1970-01-01	2099-12-31	
10*6/m2	0	JNJ_UNITS	Million Units per Meter Squared	0	None	1970-01-01	2099-12-31	
10*6/mL	0	JNJ_UNITS	Million Units per Milliliter	0	None	1970-01-01	2023-01-20	D
10*6/mL	0	JNJ_UNITS	Million per Milliliter	8816	UCUM	1970-01-01	2099-12-31	
10*6/mm3	0	JNJ_UNITS	10*6/mm3	8931	UCUM	2023-01-20	2099-12-31	
10*6/spec	0	JNJ_UNITS	Million per Specimen	9441	UCUM	1970-01-01	2099-12-31	
10*6/{spec}	0	JNJ_UNITS	10*6/{spec}	9441	UCUM	2023-01-20	2099-12-31	
10*6.[U]	0	JNJ_UNITS	10*6.[U]	9689	UCUM	2023-01-20	2099-12-31	
10*6.[UA]/L	0	JNJ_UNITS	10*6.[UA]/L	44777585	UCUM	2023-01-20	2099-12-31	
10*-6.[U]/g{HGB}	0	JNJ_UNITS	10*-6.[U]/g{HGB}	9016	UCUM	2023-01-20	2099-12-31	
10^6/uL	0	JNJ_UNITS	10^6/uL	8815	UCUM	2023-01-20	2099-12-31	
10 6 uL	0	JNJ_UNITS	10 6 uL	8815	UCUM	1970-01-01	2099-12-31	
10*6/uL	0	JNJ_UNITS	Million per Microliter	8815	UCUM	1970-01-01	2099-12-31	
